example,sample,context,filtered,numeral,noun,standard,expression,tung/rus,num_type,num_semantics,num_composite,noun_semantics,wo,mass_noun,comment,nonstandard_speaker,pob,sex,edu,lang,speaker,yob,text,collection,all
{{Двадцать}} {{три}} {{тысячи}} с копейками.,excluded,три тысячи,тысяча,,,,,,,,,,,,,,Dzhonka,F,secondary (specialized),Nanai,nsz,1934,Avtobiografija (nsz) [2016],online-corpus_202104,[pob: Dzhonka; gender: F; edu: secondary (specialized); lng: Nanai; speaker: nsz; yob: 1934] {{Двадцать}} {{три}} {{тысячи}} с копейками.
всё у него он приехал с этим == а котелок весь весь там это самое в фамилиях == там {{тысячу}} фамилий было изнутри извне,,тысячу фамилий,тысяча,,,,,,,,,,,,,,Naikhin,F,higher,Nanai,ssb,1933,BabushkinNanajskijDom&RukavitsyOttsu (ssb) [2011],online-corpus_202104,[pob: Naikhin; gender: F; edu: higher; lng: Nanai; speaker: ssb; yob: 1933] всё у него он приехал с этим == а котелок весь весь там это самое в фамилиях == там {{тысячу}} фамилий было изнутри извне
"И говорит:""5 {{тысяч}}""...",,пять тысяч,тысяча,,,,,,,,,,,,,,Kolchom,F,higher,Ulcha,vas,1933,BioSobaka&Varia (vas) [2019],online-corpus_202104,"[pob: Kolchom; gender: F; edu: higher; lng: Ulcha; speaker: vas; yob: 1933] И говорит:""5 {{тысяч}}""..."
Она с меня 5 {{тысяч}} взяла...,,пять тысяч,тысяча,,,,,,,,,,,,,,Kolchom,F,higher,Ulcha,vas,1933,BioSobaka&Varia (vas) [2019],online-corpus_202104,[pob: Kolchom; gender: F; edu: higher; lng: Ulcha; speaker: vas; yob: 1933] Она с меня 5 {{тысяч}} взяла...
Она с меня {{5}} тысяч взяла...,,пять тысяч,тысяча,,,,,,,,,,,,,,Kolchom,F,higher,Ulcha,vas,1933,BioSobaka&Varia (vas) [2019],online-corpus_202104,[pob: Kolchom; gender: F; edu: higher; lng: Ulcha; speaker: vas; yob: 1933] Она с меня {{5}} тысяч взяла...
За {{3}} тысячи на такси ездишь...,,три тысячи,тысяча,,,,,,,,,,,,,,Kolchom,F,higher,Ulcha,vas,1933,BioSobaka&Varia (vas) [2019],online-corpus_202104,[pob: Kolchom; gender: F; edu: higher; lng: Ulcha; speaker: vas; yob: 1933] За {{3}} тысячи на такси ездишь...
А она с меня 4 {{тысячи}} взяла...,,четыре тысячи,тысяча,,,,,,,,,,,,,,Kolchom,F,higher,Ulcha,vas,1933,BioSobaka&Varia (vas) [2019],online-corpus_202104,[pob: Kolchom; gender: F; edu: higher; lng: Ulcha; speaker: vas; yob: 1933] А она с меня 4 {{тысячи}} взяла...
А она с меня {{4}} тысячи взяла...,,четыре тысячи,тысяча,,,,,,,,,,,,,,Kolchom,F,higher,Ulcha,vas,1933,BioSobaka&Varia (vas) [2019],online-corpus_202104,[pob: Kolchom; gender: F; edu: higher; lng: Ulcha; speaker: vas; yob: 1933] А она с меня {{4}} тысячи взяла...
За {{тыщу}} человек где -то было здесь\ население,excluded,тысяча человек,тысяча,,,,,,,,,,,,,,Tusser camp,F,secondary (specialized),Nanai,vmo,1942,BioUchilisjOtdeljno (exk) [2016],online-corpus_202104,[pob: Tusser camp; gender: F; edu: secondary (specialized); lng: Nanai; speaker: vmo; yob: 1942] \n [vmo] За {{тыщу}} человек где -то было здесь\ население
За {{тыщу}}/ человек было\ по-моему,excluded,тысяча человек,тысяча,,,,,,,,,,,,,,Tusser camp,F,secondary (specialized),Nanai,vmo,1942,BioUchilisjOtdeljno (exk) [2016],online-corpus_202104,[pob: Tusser camp; gender: F; edu: secondary (specialized); lng: Nanai; speaker: vmo; yob: 1942] За {{тыщу}}/ человек было\ по-моему
{{Сто}} {{тысяч\}} {{сколько-то\}} этот мотор,excluded,сто тысяч,тысяча,,,,,,,,,,,,,,Sorgolj camp,F,primary,Nanai,vsg,1932,Klad (vsg) [2012],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] {{Сто}} {{тысяч\}} {{сколько-то\}} этот мотор
"Ну {{сколько}}\ знают {{сколько}} {{тысяч}} лет\ уже, да? Кондон\",excluded,сколько тысяч,тысяча,,,,,,,,,,,,,,Kondon?,F,secondary?,Nanai,vsg_daughter,1950s,RanjsheVKondone (vsg) [2015],online-corpus_202104,"[speaker: vsg_daughter] \n [vsg_daughter] Ну {{сколько}}\ знают {{сколько}} {{тысяч}} лет\ уже, да? Кондон\"
"и медвежью желчь, да? тоже {{21}} день",excluded,двадцать один день,один,двадцать один,день,standard,,,,,,time,num_noun,other,,,Kolchom,F,secondary (specialized),Ulcha,gnv,1954,MedvezhjaZhelchj (gnv) [2019],online-corpus_202104,"[pob: Kolchom; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: gnv; yob: 1954] и медвежью желчь, да? тоже {{21}} день"
"Нууу\ вс= одуванчик\ можно настаивать, я тоже== говорили, что {{двадцать}} один дней\ ее настаивают",excluded,двадцать один дней,один,двадцать один,дней,nonstandard,,,,,,time,num_noun,other,NB,,Kolchom,F,secondary (specialized),Ulcha,gnv,1954,MedvezhjaZhelchj (gnv) [2019],online-corpus_202104,"[pob: Kolchom; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: gnv; yob: 1954] Нууу\ вс= одуванчик\ можно настаивать, я тоже== говорили, что {{двадцать}} один дней\ ее настаивают"
Ты попробуй сказать {{два}} кувшина-то там {{сколько}} миллион деньги\,excluded,миллион деньги,миллион,,,,,,,,,,,,,,Sorgolj camp,F,primary,Nanai,vsg,1932,Klad (vsg) [2012],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] \n [vsg] Ты попробуй сказать {{два}} кувшина-то там {{сколько}} миллион деньги\
Ты попробуй сказать {{два}} кувшина-то там {{сколько}} миллион деньги\,excluded,сколько миллион,миллион,,,,,,,,,,,,,,Sorgolj camp,F,primary,Nanai,vsg,1932,Klad (vsg) [2012],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] \n [vsg] Ты попробуй сказать {{два}} кувшина-то там {{сколько}} миллион деньги\
{{сколько}} время сейчас?,,сколько время,время,,,,,,,,,,,,,,Troitskoje,F,secondary,Nanai,gak,1961,biografija (gak) [2011],online-corpus_202104,[pob: Troitskoje; gender: F; edu: secondary; lng: Nanai; speaker: gak; yob: 1961] ..................................................................................................................................{{сколько}} время сейчас?
"Э, говорит...{ПЕРЕКЛ} чееерный {ПЕРЕКЛ}, этот, {ПЕРЕКЛ}, говорит, {ПЕРЕКЛ}, вот она до сих пор...того время {{много}} прошло...э а сидел до сих пор, а сидел...он си=, он си=...вот.",,время много,время,,,,,,,,,,,,,,Sira camp,F,secondary,Nanai,itg,1945,SluchajPodrugaMoglaStatjShamankoj (itg) [2017],online-corpus_202104,"[pob: Sira camp; gender: F; edu: secondary; lng: Nanai; speaker: itg; yob: 1945] Э, говорит...{ПЕРЕКЛ} чееерный {ПЕРЕКЛ}, этот, {ПЕРЕКЛ}, говорит, {ПЕРЕКЛ}, вот она до сих пор...того время {{много}} прошло...э а сидел до сих пор, а сидел...он си=, он си=...вот."
"Что ж такое, он {{столько}} времени==",excluded,столько времени,время,,,,,,,,,,,,,,Dzhuen,F,higher,Nanai,ivg,1955,LegendaSmertjShamana (ivg) [2016],online-corpus_202104,"[pob: Dzhuen; gender: F; edu: higher; lng: Nanai; speaker: ivg; yob: 1955] Что ж такое, он {{столько}} времени=="
Потом {{сколько-то\}} время прошло\/,,сколько-то время,время,,,,,,,,,,,,,,Dudi,F,primary,Ulcha,oab,1935,SkazkaTriBrata (oab) [2017],online-corpus_202104,[pob: Dudi; gender: F; edu: primary; lng: Ulcha; speaker: oab; yob: 1935] Потом {{сколько-то\}} время прошло\/
Через {{сколько-то}} время/ прошло,,сколько-то время,время,,,,,,,,,,,,,,Dudi,F,primary,Ulcha,oab,1935,SkazkaTriBrata (oab) [2017],online-corpus_202104,[pob: Dudi; gender: F; edu: primary; lng: Ulcha; speaker: oab; yob: 1935] Через {{сколько-то}} время/ прошло
Немножко погодя/ уже {{сколько-то}} время/ прошло,,сколько-то время,время,,,,,,,,,,,,,,Dudi,F,primary,Ulcha,oab,1935,SkazkaTriBrata (oab) [2017],online-corpus_202104,[pob: Dudi; gender: F; edu: primary; lng: Ulcha; speaker: oab; yob: 1935] Немножко погодя/ уже {{сколько-то}} время/ прошло
И {{сколько/}} ли времени прошло,,сколько времени,время,,,,,,,,,,,,,,Dudi,F,primary,Ulcha,oab,1935,SkazkaDevushkaITsarj (oab) [2017],online-corpus_202104,[pob: Dudi; gender: F; edu: primary; lng: Ulcha; speaker: oab; yob: 1935] И {{сколько/}} ли времени прошло
"Я говорю:""Все же {{столько}} времени уходит""",,столько времени,время,,,,,,,,,,,,,,Kolchom,F,higher,Ulcha,vas,1933,BioRazgovory2 (vas) [2017],online-corpus_202104,"[pob: Kolchom; gender: F; edu: higher; lng: Ulcha; speaker: vas; yob: 1933] Я говорю:""Все же {{столько}} времени уходит"""
Ты же с ней {{столько}} времи\,excluded,столько времи,время,,,,,,,,,,,,,,Sorgolj camp,F,primary,Nanai,vsg,1932,Klad (vsg) [2012],online-corpus_202104,[pob: Sorgolj camp; gender: F; edu: primary; lng: Nanai; speaker: vsg; yob: 1932] Ты же с ней {{столько}} времи\
Брат у него был {{двухюродный}},excluded,excluded,,,,,,,,,,,,,,,KabarCamp,F,secondary,Ulcha,aam,1937,BioDetstvo (aam) [2020],online-corpus_202104,[pob: KabarCamp; gender: F; edu: secondary; lng: Ulcha; speaker: aam; yob: 1937] Брат у него был {{двухюродный}}
Думаю ну вот {{сколько}} можно,excluded,excluded,,,,,,,,,,,,,,,KabarCamp,F,secondary,Ulcha,aam,1937,BioDetstvo (aam) [2020],online-corpus_202104,[pob: KabarCamp; gender: F; edu: secondary; lng: Ulcha; speaker: aam; yob: 1937] Думаю ну вот {{сколько}} можно
А мы один раз тянем - {{двести}} центнер рыбу поймаем.,,двести центнер,,двести,центнер,nonstandard,nom_sg,tung,main,c_round,,measure,num_noun,other,,nonstandard,Dada,F,primary,Nanai,fna,1930,Biografia (fna) [2011],online-corpus_202104,[pob: Dada; gender: F; edu: primary; lng: Nanai; speaker: fna; yob: 1930] А мы один раз тянем - {{двести}} центнер рыбу поймаем.
Один раз тянули/ {{двести}} центнер\ тянули,,двести центнер,,двести,центнер,nonstandard,nom_sg,tung,main,c_round,,measure,num_noun,other,,nonstandard,Dada,F,primary,Nanai,fna,1930,BioRodstvenniki (fna) [2015],online-corpus_202104,[pob: Dada; gender: F; edu: primary; lng: Nanai; speaker: fna; yob: 1930] Один раз тянули/ {{двести}} центнер\ тянули
"Уже тоже\ {{семьдесят}} с лишним\ год, {{семьдесят}} {{восемь\}} {{сколько-то}}",,семьдесят с лишним год,,семьдесят,год,nonstandard,nom_sg,tung,main,c_round,,time,num_noun,other,,nonstandard,Dada,F,primary,Nanai,fna,1930,Razgovory2 (fna) [2015],online-corpus_202104,"[pob: Dada; gender: F; edu: primary; lng: Nanai; speaker: fna; yob: 1930] Уже тоже\ {{семьдесят}} с лишним\ год, {{семьдесят}} {{восемь\}} {{сколько-то}}"
"Да, на неделю, на {{две}}",excluded,excluded,,,,,,,,,,,,,,,KabarCamp,F,secondary,Ulcha,aam,1937,BioDetstvo (aam) [2020],online-corpus_202104,"[pob: KabarCamp; gender: F; edu: secondary; lng: Ulcha; speaker: aam; yob: 1937] \n [aam] Да, на неделю, на {{две}}"
{{Двести}} центнер\ тянули были,,двести центнер,,двести,центнер,nonstandard,nom_sg,tung,main,c_round,,measure,num_noun,other,,nonstandard,Dada,F,primary,Nanai,fna,1930,OVojne (fna) [2012],online-corpus_202104,[pob: Dada; gender: F; edu: primary; lng: Nanai; speaker: fna; yob: 1930] {{Двести}} центнер\ тянули были
"Думаю, {{сколько}} это можно... напоминать об этом",excluded,excluded,,,,,,,,,,,,,,,KabarCamp,F,secondary,Ulcha,aam,1937,BioDetstvo (aam) [2020],online-corpus_202104,"[pob: KabarCamp; gender: F; edu: secondary; lng: Ulcha; speaker: aam; yob: 1937] Думаю, {{сколько}} это можно... напоминать об этом"
{{Много}} было,excluded,excluded,,,,,,,,,,,,,,,Silchura camp,F,secondary (specialized),Ulcha,aap,1931,PlacesKtoZhilVKolchome (aap) [2020],online-corpus_202104,[pob: Silchura camp; gender: F; edu: secondary (specialized); lng: Ulcha; speaker: aap; yob: 1931] {{Много}} было
Там {{сколько\}} в Моск= офицер\-да майор\-да,,сколько офицер да майор,,сколько,офицер да майор,nonstandard,nom_sg,tung,pron,pron,,human,num_noun,other,???,nonstandard,Dada,F,primary,Nanai,fna,1930,Razgovory2 (fna) [2015],online-corpus_202104,[pob: Dada; gender: F; edu: primary; lng: Nanai; speaker: fna; yob: 1930] Там {{сколько\}} в Моск= офицер\-да майор\-да
А {{сколько/}} комната?,,сколько комната,,сколько,комната,nonstandard,nom_sg,tung,pron,pron,,other,num_noun,other,,nonstandard,Dada,F,primary,Nanai,fna,1930,Razgovory2 (fna) [2015],online-corpus_202104,[pob: Dada; gender: F; edu: primary; lng: Nanai; speaker: fna; yob: 1930] \n [fna] А {{сколько/}} комната?
